1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
-132846,-132712,-132848,-132950,-132762,-132900,-132854,-132992,-132580,-132904,-132958,-132750,-132654,-133044,-132982,-132898,-132640,-132672,-133032,-132992,-132798,-133076,-133088,-132996,-132906,-132860,-132782,-132630,-132610,-133084,-133008,-132914,-132734,-133032,-132876,-132938,-133102,-132870,-132928,-132864,-132702,-133106,-132912,-133088,-132734,-132878,-132944,-132954,-132782,-132826,-132842,-133184,-132750,-132884,-133132,-132950,-132940,-132874,-132784,-132788,-132758,-132570,-133088,-132770,-132786,-133188,-132894,-133018,-132892,-132836,-133112,-133098,-132824,-133014,-132914,-132796,-132554,-132688,-132968,-133154,-132698,-132896,-132954,-133028,-132854,-132896,-132808,-133038,-132722,-132836,-133010,-132946,-132762,-132998,-132852,-132930,-132926,-132864,-133126,-132874,
-143654,-143704,-143882,-143954,-143736,-144002,-143802,-144102,-143882,-143990,-143776,-143772,-143744,-143672,-144052,-144084,-143698,-143888,-143710,-143884,-143794,-143854,-143990,-143852,-143608,-143772,-143732,-143746,-143534,-143992,-143972,-143792,-143774,-143882,-143788,-143910,-143962,-143910,-143814,-143868,-143688,-143676,-143994,-143766,-143440,-143944,-144098,-143778,-143580,-143856,-143704,-143822,-143876,-144160,-143878,-143710,-143644,-143788,-143922,-144126,-143734,-143702,-143790,-143932,-143724,-144032,-143916,-143776,-143866,-143512,-143844,-143800,-143848,-143890,-143552,-143986,-143724,-143896,-143658,-143752,-143862,-143816,-143948,-143974,-143780,-143842,-144086,-143742,-143622,-143936,-143986,-144040,-143416,-143810,-144042,-143674,-143902,-144320,-143998,-143628,
-152192,-152532,-152706,-152492,-152508,-152282,-152558,-152496,-152082,-152612,-152414,-152366,-152574,-152422,-152688,-152696,-152400,-152246,-152710,-152574,-152494,-152388,-152416,-152730,-152274,-152634,-152498,-152472,-152294,-152270,-152342,-152516,-152412,-152510,-152574,-152710,-152428,-152432,-152528,-152596,-152382,-152552,-152746,-152414,-152356,-152542,-152620,-152562,-152284,-152266,-152480,-152476,-152222,-152680,-152430,-152764,-152190,-152628,-152540,-152622,-152456,-152594,-152604,-152640,-152482,-152740,-152554,-152774,-152200,-152358,-152516,-152656,-152394,-152316,-152530,-152556,-152534,-152354,-152358,-152626,-152262,-152416,-152234,-152632,-152084,-152722,-152534,-152288,-152452,-152506,-152358,-152618,-152122,-152328,-152454,-152602,-152398,-152426,-152258,-152826,
-158658,-159154,-158956,-158906,-158636,-158998,-159024,-159344,-158836,-158964,-159094,-159152,-159076,-159198,-159048,-158832,-158920,-159188,-158980,-158986,-158978,-158960,-159078,-159436,-159016,-159028,-159272,-159560,-159160,-159208,-159194,-158966,-158868,-159140,-159124,-159480,-158796,-158782,-159070,-158970,-159022,-159078,-159344,-159252,-158978,-159114,-159372,-159360,-158906,-159024,-159200,-159064,-159112,-159194,-159056,-159382,-158980,-159004,-159198,-159320,-159066,-159028,-159166,-159200,-159094,-159058,-159252,-159352,-159174,-158990,-158998,-159238,-158726,-159086,-159160,-159040,-158978,-158984,-159310,-159194,-159158,-159116,-159376,-159348,-158980,-159004,-159208,-159156,-158962,-159100,-159050,-159258,-159134,-158968,-159018,-159192,-158958,-158996,-159084,-159216,
-162929,-163505,-163761,-163949,-163623,-164007,-163583,-163893,-163603,-163791,-163773,-163705,-163631,-163919,-163769,-163645,-163717,-163791,-163693,-163909,-163585,-163427,-163909,-163799,-163607,-163561,-163411,-163647,-163645,-163619,-163759,-163659,-163265,-163405,-163763,-163905,-163725,-163615,-164061,-163733,-163663,-163597,-163477,-163855,-163439,-163797,-163817,-164039,-163761,-163995,-163637,-163727,-163669,-164057,-164029,-163771,-163811,-163687,-163879,-163769,-163731,-163743,-163803,-163617,-163659,-163907,-163395,-163949,-163499,-163669,-163855,-163639,-163653,-163651,-163813,-163729,-163793,-163641,-163719,-163599,-163701,-163469,-163657,-163899,-163617,-163715,-163563,-163749,-163589,-163925,-163815,-163549,-163659,-163801,-163829,-163659,-163663,-163701,-163629,-163825,
-165637,-166513,-166615,-166651,-166469,-166621,-166635,-166805,-166499,-166641,-166577,-166897,-166471,-166605,-166601,-166515,-166295,-166517,-166479,-166543,-166405,-166519,-166561,-166669,-166423,-166589,-166477,-166689,-166403,-166535,-166671,-166457,-166437,-166295,-166375,-166485,-166231,-166527,-166407,-166603,-166633,-166579,-166711,-166559,-166383,-166521,-166595,-166657,-166485,-166801,-166799,-166465,-166803,-166653,-166657,-166541,-166263,-166559,-166617,-166741,-166427,-166525,-166579,-166653,-166911,-166513,-166707,-166761,-166485,-166485,-166635,-166461,-166805,-166633,-166691,-166889,-166687,-166313,-166801,-166855,-166535,-166647,-166779,-166627,-166253,-166719,-166487,-166887,-166421,-166457,-166817,-166537,-166441,-166523,-166619,-166721,-166435,-166715,-166619,-166529,
-165407,-166449,-166457,-166701,-166509,-166913,-166489,-166873,-166443,-166865,-166995,-167015,-166877,-166969,-166913,-166729,-167047,-167159,-166707,-166885,-166799,-167097,-166939,-167027,-167033,-167053,-167077,-167157,-166673,-167061,-167157,-167013,-166929,-167073,-167027,-167093,-166937,-166875,-167023,-166805,-167063,-167197,-166907,-167147,-166627,-167071,-166857,-166927,-166965,-166915,-166889,-167177,-166787,-167089,-166827,-166755,-166791,-166961,-167061,-166837,-166715,-167047,-167019,-166973,-166901,-167207,-166941,-166831,-166943,-166861,-166971,-167209,-166735,-167067,-167005,-166849,-166885,-166943,-166945,-167137,-166859,-167081,-166859,-167021,-166967,-166753,-167093,-167187,-166715,-167051,-167023,-167171,-166873,-166989,-167157,-167139,-167145,-167041,-167215,-166905,
-161243,-162583,-162725,-163241,-162813,-163473,-163441,-163609,-163073,-163403,-163557,-163387,-163121,-163483,-163169,-163555,-163093,-163911,-163513,-163463,-163199,-163661,-163615,-163725,-163073,-163509,-163661,-163527,-163389,-163355,-163715,-163765,-163293,-163925,-163699,-163965,-163391,-163615,-163741,-163783,-163789,-163709,-163483,-163825,-163317,-163621,-163795,-163813,-163381,-163755,-163663,-163591,-163237,-163879,-163711,-163805,-163387,-163799,-163935,-163819,-163675,-163753,-163897,-163769,-163525,-164023,-163971,-163847,-163411,-163775,-163833,-163833,-163281,-163765,-163727,-164049,-163789,-163771,-163855,-163707,-163429,-164011,-163629,-163899,-163591,-163767,-163659,-163773,-163521,-163675,-163719,-163761,-163441,-163669,-163885,-163909,-163385,-163669,-163699,-164147,
-143243,-144707,-144745,-145173,-144203,-144931,-144999,-145151,-144591,-145093,-144945,-145045,-144639,-145049,-145237,-145207,-144467,-145519,-145087,-144979,-144345,-144961,-145095,-145129,-144433,-145167,-145129,-145087,-144383,-145067,-145337,-145193,-144489,-145039,-144987,-145333,-144583,-144881,-145035,-145093,-145353,-145079,-144911,-145095,-144147,-144971,-145023,-145181,-144525,-144925,-145161,-144995,-144361,-145095,-145001,-145245,-144579,-144927,-145589,-145065,-144593,-144949,-145083,-145203,-144307,-144999,-144843,-145195,-144477,-145229,-145107,-145277,-144389,-145059,-145051,-145085,-144843,-145043,-145189,-144977,-144599,-145401,-145089,-145227,-144577,-145135,-145155,-145125,-144591,-145221,-144919,-145161,-144467,-145133,-145175,-145043,-144493,-145025,-145101,-145479,
